chr,bp_mm10,megamuga,gigamuga
1,100069353,UNC1249243,UNC1249243
1,100088800,JAX00192659,JAX00192659
1,100297811,UNC1253290,UNC1253290
1,100331810,JAX00260722,JAX00260722
1,100390407,JAX00260750,JAX00260750
1,100422523,UNC1255567,UNC1255567
1,100465147,JAX00260774,JAX00260774
1,100478901,JAX00260780,JAX00260780
1,100522606,UNC1257137,UNC1257137
1,100590916,UNC1257988,UNC1257988
1,10063414,UNC86947,UNC86947
1,100697241,UNC1259308,UNC1259308
1,100789720,UNC1260464,UNC1260464
1,10098253,UNC87305,UNC87305
1,101005107,UNC1262910,UNC1262910
1,101039217,,ICR2009;ICR4104
1,101130632,UNC1264416,UNC1264416
1,101156390,JAX00260906,JAX00260906
1,101164257,UNC1264992,UNC1264992
1,101270812,UNC1265791,UNC1265791
1,101411742,UNC1267975,UNC1267975
1,10147799,UNC87850,UNC87850
1,101511606,UNC1269099,UNC1269099
1,101645416,UNC1271160,UNC1271160
1,101717603,UNC1272396,UNC1272396
1,101819213,UNC1274234,UNC1274234
1,101902645,UNC1275195,UNC1275195
1,102042988,UNC1276993,UNC1276993
1,10211530,UNC88286,UNC88286
1,102130150,UNC1278351,UNC1278351
1,102225595,UNC1280065,UNC1280065
1,102321107,UNC1281374,UNC1281374
1,102381720,UNC1282256,UNC1282256
1,102489418,UNC1284084,UNC1284084
1,102560634,JAX00261181,JAX00261181
1,10262178,JAX00241740,JAX00241740
1,102634667,UNC1286279,UNC1286279
1,102739485,UNC1287936,UNC1287936
1,102828283,UNC1290112,UNC1290112
1,102926146,UNC1291879,UNC1291879
1,103054747,UNC1294443,UNC1294443
1,10307255,UNC89490,UNC89490
1,103143123,UNC1296431,UNC1296431
1,103199283,UNC1297520,UNC1297520
1,103349266,UNC1300025,UNC1300025
1,103399893,UNC1301432,UNC1301432
1,103578818,UNC1304840,UNC1304840
1,10361724,UNC89876,UNC89876
1,103673765,UNC1307235,UNC1307235
1,103778305,UNC1309269,UNC1309269
1,103779451,,JAX00261391;JAX00261391q
1,103841971,UNC1310490,UNC1310490
1,10391301,UNC90063,UNC90063
1,103958227,UNC1312584,UNC1312584
1,104192269,UNC1314740,UNC1314740
1,104258369,UNC1315234,UNC1315234
1,104282500,JAX00261470,JAX00261470
1,104319943,JAX00007557,JAX00007557
1,104372828,UNC1316545,UNC1316545
1,104466313,UNC1317429,UNC1317429
1,10452345,UNC90639,UNC90639
1,104546896,UNC1318510,UNC1318510
1,104685354,UNC1320224,UNC1320224
1,104694136,JAX00192747,JAX00192747
1,104803517,JAX00007592,JAX00007592
1,104808152,JAX00261578,JAX00261578
1,104826583,UNC1321774,UNC1321774
1,104876883,JAX00007599,JAX00007599
1,104940902,UNC1323321,UNC1323321
1,10504840,UNC91280,UNC91280
1,105074394,UNC1324923,UNC1324923
1,105120660,UNC1325562,UNC1325562
1,105188997,UNC1326538,UNC1326538
