chr,bp_mm10,marker1,marker2
1,189710695,gUNC2415435,gUNC2415435b
1,194886567,mJAX00014283,mJAX00014283b
2,58662484,UNC020395186,mUNC020395186
2,68869729,UNC3267830,gUNC3267830
3,101611671,UNC5855250,gUNC5855250
3,120666881,B6_03-120369799-S,mB6_03-120369799-S
3,129224825,UNC6222319,gUNC6222319
3,132075087,gUNC6265372,gUNC6265372b
3,67616729,UNC5440607,gUNC5440607
3,76071624,UNC5560335,gUNC5560335
3,77907770,UNC5586083,gUNC5586083
3,78594019,backupUNC030615251,mbackupUNC030615251
3,78846279,UNC5599491,gUNC5599491
3,87753280,UNCHS009315,gUNCHS009315
3,90132263,JAX00110225,gJAX00110225
3,94461036,UNC5773934,gUNC5773934
5,102623974,UNC9810514,gUNC9810514
5,103600922,UNC9826099,gUNC9826099
5,106509069,UNC9863457,gUNC9863457
5,110634487,gUNC9903906,gUNC9903906b
5,119058415,mUNC10016752,mUNC10016752b
5,52674205,UNC9188232,gUNC9188232
5,53324305,UNC9197152,gUNC9197152
5,55411655,JAX00130262,gJAX00130262
5,61567649,JAX00583968,gJAX00583968
5,63178754,UNC9323394,mUNC9323394
6,56109337,mUNC060379499,mUNC060379499b
6,72586683,backupUNC060640434,gbackupUNC060640434
7,116117732,backupUNC070738764,gbackupUNC070738764
7,118313290,UNC13709012,gUNC13709012
7,119704394,JAX00156302,gJAX00156302
7,125392961,UNC13793270,gUNC13793270
7,128906341,UNC13828717,gUNC13828717
7,13022416,gJAX00148771,gJAX00148771b
7,132897544,UNC13889260,gUNC13889260
7,133936223,UNC13903025,gUNC13903025
7,87691179,mUNC13315592,mUNC13315592b
7,89749947,mbackupJAX00646432,mbackupJAX00646432b
8,103445589,mUNC080608530,mUNC080608530b
8,113980750,UNC15532587,gUNC15532587
8,114747796,mUNC15546530,mUNC15546530b
8,76875469,mUNC080274180,mUNC080274180b
8,90858141,UNC15231196,gUNC15231196
8,92679700,UNC15258145,mUNC15258145
9,62761515,gUNC16492494,gUNC16492494b
9,99891107,UNC16977752,gUNC16977752
10,10938365,mUNC17416649,mUNC17416649b
10,124415800,UNC18912539,gUNC18912539
10,125818133,UNC18935310,mUNC18935310
10,14268017,JAX00015138,gJAX00015138
10,29225558,UNC17665798,gUNC17665798
10,40466800,UNC100047974,mUNC100047974
10,41737293,UNC17824923,gUNC17824923
10,48476816,gbackupJAX00017686,gbackupJAX00017686b
10,49300790,gUNC17926662,gUNC17926662b
10,88612340,gJAX00295209,gJAX00295209b
10,89021746,gUNC18392975,gUNC18392975b
10,90574923,gUNC18415706,gUNC18415706b
10,93858069,UNC18460813,gUNC18460813
11,104675740,JAX00320842,mJAX00320842
11,105556879,UNC20308037,gUNC20308037
11,105831481,UNC20310253,gUNC20310253
11,23362128,UNC19251864,gUNC19251864
11,72680142,gUNCHS031291,gUNCHS031291b
11,7757869,gUNC19030936,gUNC19030936b
11,88337207,gUNC20074772,gUNC20074772b
12,67769815,backupUNC120171345,mbackupUNC120171345
12,87389288,UNC21562220,gUNC21562220
12,88899305,mUNC120199959,mUNC120199959b
12,90175559,UNC21588734,gUNC21588734
12,91732552,UNC21609262,gUNC21609262
13,116147375,UNC23451745,gUNC23451745
13,116489779,JAX00371508,gJAX00371508
13,117306006,UNC23469163,mUNC23469163
13,45202912,backupUNC130055300,gbackupUNC130055300
14,10320251,UNC140025084,mUNC140025084
14,19828105,UNC23656406,gUNC23656406
14,7705302,mJAX00049793,mJAX00049793b
14,9440920,gJAX00372450,gJAX00372450b
15,15352439,gUNC25091806,gUNC25091806b
15,92808184,UNC26126785,gUNC26126785
15,93096702,mUNC26129825,mUNC26129825b
15,94214298,UNC26143489,gUNC26143489
15,96207848,gUNC26171675,gUNC26171675b
16,32829227,gJAX00417466,gJAX00417466b
16,33175003,gUNC26609904,gUNC26609904b
16,37101961,UNC160204180,gUNC160204180
17,68967748,gUNC28255130,gUNC28255130b
17,71012042,mUNC28288421,mUNC28288421b
17,73764338,gUNC28332995,gUNC28332995b
17,78351506,gUNC28404244,gUNC28404244b
17,85066045,gJAX00448815,gJAX00448815b
17,92646712,UNC28619135,mUNC28619135
18,12378399,UNC28744651,gUNC28744651
18,17108062,mbackupUNC180055732,mbackupUNC180055732b
18,26345252,gUNC28920489,gUNC28920489b
18,28595269,JAX00081668,gJAX00081668
18,29806342,UNC28965044,gUNC28965044
18,34215388,UNC29026576,gUNC29026576
18,4516519,UNC180320551,mUNC180320551
19,27916232,UNC30149201,gUNC30149201
19,29191632,mUNC190034224,mUNC190034224b
19,30901295,UNC30190932,gUNC30190932
19,36795262,UNC30267063,gUNC30267063
19,37656149,UNC30277312,gUNC30277312
19,44736741,UNC30375331,mUNC30375331
19,47848508,UNC30417262,gUNC30417262
19,48160479,UNC30422993,gUNC30422993
19,52562306,UNC30493844,mUNC30493844
19,57611671,mUNC30567101,mUNC30567101b
X,101103912,gUNC31147619,gUNC31147619b
X,120589964,UNC200167426,mUNC200167426
X,130789237,gUNC31319314,gUNC31319314b
X,134199664,gUNC31339856,gUNC31339856b
X,136048006,backupJAX00184922,gbackupJAX00184922
X,151472932,backupUNC200204428,mbackupUNC200204428
X,50260838,gUNC30814358,gUNC30814358b
X,52118091,gJAX00711608,gJAX00711608b
X,57768447,gUNC30853537,gUNC30853537b
X,99289484,JAX00182464,gJAX00182464
